微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
JhQyg684E,微博上各地多所高校都在闹搬宿舍事情，估计有关部门… http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 14:06,Hi聊,3,0,1
JhQ2ME7wd,我可qnmd搬宿舍。。。用屁股想问题，用脚做决定，一天到晚不干正事，本来因为很多事对学校都没有特别的好感，现在就一天到晚弄这种东西。有没有想过回学校后搬宿舍会怎样？人流动大不大？要是有病大家死的快不快？？还一个个学院分开通知，你是以为消息不会传出去还是... http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 12:49,Hi聊,8,0,0
JhPUD8txK,咸鱼的梦想是当咸鱼……麻烦大家说一些话激励我吧，我真的上大学后颓废好多，总是想得过且过，浑水摸鱼 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 12:29,Hi聊,9,0,10
JhPP7grGM,大四的学费有减半么？ http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 12:15,Hi聊,24,0,12
JhPL70sgZ,有没有一起短租的，本人男，有意评论我找你，想把车证先拿了 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 12:05,Hi聊,0,0,0
JhPEUAgNL,不服从安排可以自行退学？？？ http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 11:50,Hi聊,6,0,4
JhPEt7F1q,大二英语师范和汉语言住在哪里啊，准备从黄田坝搬过去了 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 11:49,Hi聊,2,0,2
JhPyMiwXH,封闭管理feng多久啊？不会要寒假才能出来吧？到时候要上辅导课要考研要实习能不能出去啊。。 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 11:35,Hi聊,1,0,5
JhPwZcfF6,有人在中山吗？可以约一起逛逛玩玩吃吃东西？（准大四女生） http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 11:30,Hi聊,1,0,1
JhPmB35FM,北区目前的样子，挖了水管正在回填。重新安装部分铝合金窗，其他进不去看 http://t.cn/RBaFzxp  原图 ,,http://wx4.sinaimg.cn/large/006gRmAaly1gi56wmxmmkj31400u04bi.jpg,无,无,2020-08-27 11:05,Hi聊,2,0,2
JhPcvqbJX,这事更坚定了考研的信念，把高考想考的大学用考研去实现吧，还有114天加油！ http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 10:40,Hi聊,11,0,0
JhOY3t8Ym,韶关学院一直评不上什么是正确的，没对比没伤害，韶关学院的领导着实“厉害”👍 http://t.cn/RBaFzxp  原图 ,,http://wx2.sinaimg.cn/large/006gRmAaly1gi555qgwd6j30n01dste0.jpg,无,无,2020-08-27 10:04,Hi聊,20,0,4
JhOOtgj3X,所以什么时候返校能不能给个准信！？无语😓一定要等到返校前一天才通知吗？我是可以开直升机回学校还是怎样？？？给爷气笑了。 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 09:41,Hi聊,16,0,4
JhOzECkKt,搬个屁不搬了谁也别强制我搬 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 09:04,Hi聊,36,0,7
